    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
       14525.13454,     0.05006110704,      0.5546216644,                 0,                 0,                 0,      0.1804834699,     0.02300531096,      0.5564009892,                 0,       11.07889332,   0.0006462560993
       14525.13454,     0.04895145947,      0.5606055398,                 0,                 0,                 0,      0.1805374737,     0.02160571093,       0.562323759,                 0,       11.45227427,   0.0006462560993
       14525.13454,     0.04788541951,      0.5663955123,                 0,                 0,                 0,      0.1804884293,     0.02025910512,      0.5680549783,                 0,       11.82814138,   0.0006462560993
       14525.13454,     0.04686765057,      0.5719659479,                 0,                 0,                 0,      0.1803346471,     0.01897139915,      0.5735692707,                 0,       12.20385364,   0.0006462560993
       14525.13454,      0.0459031596,      0.5773044822,                 0,                 0,                 0,      0.1800816746,     0.01774819592,      0.5788545299,                 0,       12.57657397,   0.0006462560993
       14525.13454,     0.04499577952,      0.5824080904,                 0,                 0,                 0,      0.1797389212,     0.01659347101,      0.5839079213,                 0,       12.94361597,   0.0006462560993
       14525.13454,     0.04414682283,      0.5872731571,                 0,                 0,                 0,      0.1793147596,     0.01550871135,      0.5887258979,                 0,       13.30272757,   0.0006462560993
       14525.13454,      0.0433561792,      0.5918921227,                 0,                 0,                 0,      0.1788158032,      0.0144941747,      0.5933009035,                 0,       13.65185156,   0.0006462560993
       14525.13454,       0.042621532,      0.5962639291,                 0,                 0,                 0,      0.1782496465,      0.0135475987,      0.5976317685,                 0,       13.98973479,   0.0006462560993
       14525.13454,     0.04194099814,      0.6004001968,                 0,                 0,                 0,      0.1776292205,     0.01266653684,       0.601730008,                 0,       14.31535308,   0.0006462560993
       14525.13454,     0.04131505919,      0.6043398387,                 0,                 0,                 0,      0.1769794255,     0.01184957603,      0.6056345121,                 0,       14.62759223,   0.0006462560993
       14525.13454,     0.04073986899,      0.6081096645,                 0,                 0,                 0,      0.1763167433,     0.01109156969,      0.6093718717,                 0,       14.92664752,   0.0006462560993
       14525.13454,       0.040208533,      0.6117259308,                 0,                 0,                 0,      0.1756502483,     0.01038484015,      0.6129579885,                 0,       15.21383361,   0.0006462560993
       14525.13454,     0.03971356771,      0.6151912066,                 0,                 0,                 0,      0.1749821877,    0.009721787727,       0.616395064,                 0,       15.49070612,   0.0006462560993
       14525.13454,     0.03924954872,      0.6185293423,                 0,                 0,                 0,       0.174322812,    0.009095833525,      0.6197066565,                 0,       15.75889054,   0.0006462560993
       14525.13454,     0.03881582692,      0.6217934619,                 0,                 0,                 0,      0.1736953978,    0.008503743359,      0.6229457954,                 0,       16.01907034,   0.0006462560993
       14525.13454,      0.0384062482,      0.6250176014,                 0,                 0,                 0,      0.1731099297,    0.007937713708,      0.6261461768,                 0,       16.27385206,   0.0006462560993
       14525.13454,     0.03801676475,      0.6282410541,                 0,                 0,                 0,      0.1725784101,    0.007391788945,      0.6293468503,                 0,        16.5253687,   0.0006462560993
       14525.13454,      0.0376403488,      0.6314811889,                 0,                 0,                 0,      0.1720999327,    0.006858104175,      0.6325648221,                 0,       16.77670928,   0.0006462560993
       14525.13454,     0.03727310165,      0.6347509319,                 0,                 0,                 0,      0.1716735011,    0.006332136152,      0.6358128134,                 0,         17.029732,   0.0006462560993
       14525.13454,        0.03690902,      0.6380513494,                 0,                 0,                 0,      0.1712902985,    0.005807836776,      0.6390915969,                 0,       17.28713874,   0.0006462560993
       14525.13454,      0.0365491148,      0.6414258634,                 0,                 0,                 0,      0.1709606105,    0.005284102221,      0.6424445924,                 0,       17.54969626,   0.0006462560993
       14525.13454,      0.0362024631,      0.6449508737,                 0,                 0,                 0,      0.1707106631,    0.004766279984,      0.6459485509,                 0,       17.81511031,   0.0006462560993
       14525.13454,     0.03586161985,      0.6486087509,                 0,                 0,                 0,      0.1705190242,    0.004247791951,      0.6495855015,                 0,       18.08643206,   0.0006462560993
