"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
909, 3.766198158264160e-01, -5.754299089312550e-02, 3.770212828286278e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.543260021789251e+04, 1.000000000000000e-10, 3.281235722161695e+08, 3.417304008715699e+04, 3.157534427890232e+02, 0.000000000000000e+00, -2.989279667104675e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919524253118999e-05, 3.631676282361109e-03, 7.752698421131037e-05, -4.703600320910176e+02, 2.586978126888265e+00, 1.149016335651480e-19
935, 3.590588271617890e-01, -5.778745934367180e-02, 3.789618977292341e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.587127611221946e+04, 1.000000000000000e-10, 3.263481393598695e+08, 3.434851044488776e+04, 3.157495257896120e+02, 0.000000000000000e+00, -2.868475032046457e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919506178157660e-05, 3.693640608176174e-03, 2.369207933886281e-05, -4.835512870493776e+02, 2.615726814621825e+00, 1.161213573287483e-19
961, 3.418258726596830e-01, -5.776616930961610e-02, 3.817961827168312e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.652142608129828e+04, 1.000000000000000e-10, 3.239433414029195e+08, 3.460857043251929e+04, 3.157784028108397e+02, 0.000000000000000e+00, -2.689433669702657e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919639428332207e-05, 3.725058481052727e-03, -2.623388497791936e-05, -4.868796224135410e+02, 2.636455238602192e+00, 1.178582965741078e-19
987, 3.249974250793460e-01, -5.754758045077320e-02, 3.851473573493641e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.729675711178477e+04, 1.000000000000000e-10, 3.212821319589577e+08, 3.491870284471389e+04, 3.158359232139006e+02, 0.000000000000000e+00, -2.475919356747437e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919904832645585e-05, 3.730529904087585e-03, -7.121166480550271e-05, -4.846050895127439e+02, 2.649327414274068e+00, 1.198775695642343e-19
1013, 3.086399734020230e-01, -5.713268741965290e-02, 3.891611749439849e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.822571839946308e+04, 1.000000000000000e-10, 3.180744039019370e+08, 3.529028735978521e+04, 3.159046612665229e+02, 0.000000000000000e+00, -2.220097619577734e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920221964897469e-05, 3.723836265192683e-03, -1.136917562635196e-04, -4.784098267246856e+02, 2.660440700237015e+00, 1.223484051200348e-19
1039, 2.927811741828920e-01, -5.656399205327030e-02, 3.931741383712514e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.915955296366641e+04, 1.000000000000000e-10, 3.148776653814393e+08, 3.566382118546654e+04, 3.159899536654819e+02, 0.000000000000000e+00, -1.962933856553049e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920615425476558e-05, 3.695845838986129e-03, -1.484052689968129e-04, -4.681784245843187e+02, 2.664062015849064e+00, 1.248649566317607e-19
1065, 2.774220108985900e-01, -5.587914213538170e-02, 3.968339999760744e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.001208627669449e+04, 1.000000000000000e-10, 3.120263464972255e+08, 3.600483451067778e+04, 3.160692819614737e+02, 0.000000000000000e+00, -1.728159215212543e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920981326098221e-05, 3.673766031075431e-03, -1.780341225821376e-04, -4.608370010324880e+02, 2.668462002760955e+00, 1.271788959412012e-19
1091, 2.625653147697450e-01, -5.509970337152480e-02, 4.002760380872336e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.081486033139784e+04, 1.000000000000000e-10, 3.093505937252387e+08, 3.632594413255911e+04, 3.161459797309806e+02, 0.000000000000000e+00, -1.507087512922091e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.921335050326431e-05, 3.657372762271887e-03, -2.067051859260714e-04, -4.576666133524300e+02, 2.674322561880140e+00, 1.293915882786295e-19
1117, 2.482267022132870e-01, -5.422909930348400e-02, 4.040022940725080e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.168285325214686e+04, 1.000000000000000e-10, 3.067242617955770e+08, 3.667314130085872e+04, 3.162238529345294e+02, 0.000000000000000e+00, -1.268055531953349e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.921694152198792e-05, 3.637282490938721e-03, -2.359627697010984e-04, -4.535530695458524e+02, 2.678806605546430e+00, 1.317143446075929e-19
1143, 2.344165146350860e-01, -5.327359586954120e-02, 4.078251549388937e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.257427458952485e+04, 1.000000000000000e-10, 3.037924567020786e+08, 3.702970983580992e+04, 3.163054277399228e+02, 0.000000000000000e+00, -1.022571723205927e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.922070276665446e-05, 3.604022839198460e-03, -2.610796046599101e-04, -4.458192194966936e+02, 2.679831251439904e+00, 1.342438419038399e-19
